timestamp,student_text,emotion,confidence,mixed_emotions,bilstm_emotion,bilstm_confidence,bert_emotion,bert_confidence,gemini_response,model_used
2026-07-14 11:56:00,i have no idea about the concept of OOPs ,Confused,0.9738,['Confused'],Confused,0.9738,Confused,0.9738,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bert
2026-07-14 11:56:19,i have no idea about the concept of OOPs ,Confused,0.9738,['Confused'],Confused,0.9738,Confused,0.9738,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bert
2026-07-14 12:51:36,i am struggling with the OOPs concept 🥲,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:02,i am struggling with the OOPs concept 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:07,i am struggling with the OOPs concept 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:12,i am struggling with the OOPs concept 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:13,i am struggling with the OOPs concept 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:27,i am struggling with the OOPs concept but i love it 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 12:52:48,i am struggling with the OOPs concept but i love it 😍,Bored,0.2,"['Bored', 'Curious', 'Confident', 'Confused', 'Frustrated']",Bored,0.2,Bored,0.2,Your brain is clearly ready for more challenge! Use this opportunity to explore advanced topics or connect this material to something you're passionate about. Try creating your own problems or finding real-world applications. You're ready for the next level!,bert
2026-07-14 13:07:09,i am struggling with the OOPs concept but i love it 😍,Confident,0.379,"['Confident', 'Confused']",Confident,0.379,Confident,0.379,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bert
2026-07-14 13:07:31,i hate my life ,Frustrated,0.8339,['Frustrated'],Frustrated,0.8339,Frustrated,0.8339,"Your frustration shows how much you care about understanding this. Take a short 10-minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bert
2026-07-14 13:08:48,"Seeing people better that me feels little bit jealous right 
",Curious,0.4984,"['Curious', 'Confident', 'Confused']",Curious,0.4984,Curious,0.4984,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real-world applications. Curious learners become the best innovators!,bert
2026-07-14 13:09:00,"Seeing people better that me feels little bit jealous right 
",Curious,0.4984,"['Curious', 'Confident', 'Confused']",Curious,0.4984,Curious,0.4984,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real-world applications. Curious learners become the best innovators!,bilstm
2026-07-14 13:20:56,I have been stuck on this bug for 5 hours and want to give up,Frustrated,1.0,['Frustrated'],Frustrated,1.0,Frustrated,1.0,"Your frustration shows how much you care about understanding this. Take a short 10-minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bert
2026-07-20 14:01:31,i hate physics,Frustrated,0.8339,['Frustrated'],Frustrated,0.8339,Frustrated,0.8339,"Your frustration shows how much you care about understanding this. Take a short 10-minute break to reset your mind. When you return, try a completely different approach or ask someone for a fresh perspective. Every expert has been exactly where you are right now!",bert
2026-07-20 14:09:28,"i just love being kind to others, but they use and throw me everytime and i dont have friends",Confident,0.6488,['Confident'],Confident,0.6488,Confident,0.6488,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bert
2026-07-20 14:09:45,"i just love being kind to others, but they use and throw me everytime and i dont have friends🥲",Confident,0.6488,['Confident'],Confident,0.6488,Confident,0.6488,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bert
2026-07-20 14:10:03,i just love being kind to others,Confident,0.9459,['Confident'],Confident,0.9459,Confident,0.9459,You're doing amazing! This is the perfect time to challenge yourself further. Try teaching this concept to someone else or tackle the most difficult problems you can find. Your confidence is well earned — now push yourself to the next level!,bert
2026-07-20 16:09:42,I have no idea what recursion means no matter how many times I read it,Confused,0.9459,['Confused'],Confused,0.9459,Confused,0.9459,"It's completely normal to feel confused when learning something new. Try breaking the concept into smaller parts and tackle one piece at a time. Draw diagrams, use analogies, and don't hesitate to look for alternative explanations. You're making progress even when it doesn't feel like it!",bert
2026-07-20 16:10:26,"do you have any idea, what are we doing?
",Curious,0.9987,['Curious'],Curious,0.9987,Curious,0.9987,Your curiosity is your greatest learning superpower! Follow that interest and dive deeper into the topic. Try building a small project around what you're exploring or connect it to real-world applications. Curious learners become the best innovators!,bert
